1,3.8,0.95,2.775,3.8,3.8,2.775,0,0,0.1,0.15,102,204
1,4.75,0.95,2.775,4.75,3.8,2.775,0,0,0.1,0.15,102,204
1,5.7,0.95,2.775,5.7,3.8,2.775,0,0,0.1,0.15,102,204
1,0,3.8,2.775,0,6.65,2.775,0,0,0.1,0.15,102,204
1,0.95,3.8,2.775,0.95,6.65,2.775,0,0,0.1,0.15,102,204
1,1.9,3.8,2.775,1.9,6.65,2.775,0,0,0.1,0.15,102,204
1,2.85,3.8,2.775,2.85,6.65,2.775,0,0,0.1,0.15,102,204
1,3.8,3.8,2.775,3.8,6.65,2.775,0,0,0.1,0.15,102,204
1,4.75,3.8,2.775,4.75,6.65,2.775,0,0,0.1,0.15,102,204
1,5.7,3.8,2.775,5.7,6.65,2.775,0,0,0.1,0.15,102,204
1,0,1.9,2.775,0.95,1.9,2.775,0,0,0.1,0.15,102,204
1,0.95,4.75,2.775,1.9,4.75,2.775,0,0,0.1,0.15,102,204
1,4.75,2.85,2.775,5.7,2.85,2.775,0,0,0.1,0.15,102,204
1,0,4.75,2.775,0.95,4.75,2.775,0,0,0.1,0.15,102,204
1,0,0.95,5.475,5.7,0.95,5.475,1,1,0.1,0.15,102,204
1,0,3.8,5.475,5.7,3.8,5.475,1,1,0.1,0.15,102,204
1,0,6.65,5.475,5.7,6.65,5.475,1,1,0.1,0.15,102,204
1,0,0.95,5.475,0,3.8,5.475,0,0,0.1,0.15,102,204
1,0.95,0.95,5.475,0.95,3.8,5.475,0,0,0.1,0.15,102,204
1,1.9,0.95,5.475,1.9,3.8,5.475,0,0,0.1,0.15,102,204
1,3.8,0.95,5.475,3.8,3.8,5.475,0,0,0.1,0.15,102,204
1,4.75,0.95,5.475,4.75,3.8,5.475,0,0,0.1,0.15,102,204
1,5.7,0.95,5.475,5.7,3.8,5.475,0,0,0.1,0.15,102,204
1,0,3.8,5.475,0,6.65,5.475,0,0,0.1,0.15,102,204
1,0.95,3.8,5.475,0.95,6.65,5.475,0,0,0.1,0.15,102,204
1,1.9,3.8,5.475,1.9,6.65,5.475,0,0,0.1,0.15,102,204
1,3.8,3.8,5.475,3.8,6.65,5.475,0,0,0.1,0.15,102,204
1,5.7,3.8,5.475,5.7,6.65,5.475,0,0,0.1,0.15,102,204
1,0,0.95,0,0,0.95,5.475,0,0,0.1,0.1,103,201
1,5.7,0.95,0,5.7,0.95,5.475,0,0,0.1,0.1,103,201
1,0,3.8,0,0,3.8,5.475,0,0,0.1,0.1,103,201
1,5.7,3.8,0,5.7,3.8,5.475,0,0,0.1,0.1,103,201
1,0,6.65,0,0,6.65,5.475,0,0,0.1,0.1,103,201
1,5.7,6.65,0,5.7,6.65,5.475,0,0,0.1,0.1,103,201
2,0,0,0,0,0,2.775,0,0,0.1,0.1,103,201
2,0.475,0,0,0.475,0,1.7775,0,0,0.1,0.1,103,201
2,1.425,0,0,1.425,0,1.7775,0,0,0.1,0.1,103,201
2,1.9,0,0,1.9,0,2.775,0,0,0.1,0.1,103,201
2,1.9,0.95,0,1.9,0.95,2.775,0,0,0.1,0.1,103,201
2,2.85,0.95,0,2.85,0.95,2.775,0,0,0.1,0.1,103,201
2,4.75,0.95,0,4.75,0.95,2.775,0,0,0.1,0.1,103,201
2,0,1.9,0,0,1.9,2.775,0,0,0.1,0.1,103,201
2,0.95,1.9,0,0.95,1.9,2.775,0,0,0.1,0.1,103,201
